Video,StimulusType,Frame,TrueLabel,LGMD_Pred,EMD_Pred,SNN_Pred
loom_on_inhibition.mp4,looming,0,1,0,0,1
loom_on_inhibition.mp4,looming,1,1,0,0,1
loom_on_inhibition.mp4,looming,2,1,0,0,1
loom_on_inhibition.mp4,looming,3,1,0,0,1
loom_on_inhibition.mp4,looming,4,1,0,0,1
loom_on_inhibition.mp4,looming,5,1,0,0,1
loom_on_inhibition.mp4,looming,6,1,0,0,1
loom_on_inhibition.mp4,looming,7,1,0,0,1
loom_on_inhibition.mp4,looming,8,1,0,0,1
loom_on_inhibition.mp4,looming,9,1,0,0,1
loom_on_inhibition.mp4,looming,10,1,0,0,1
loom_on_inhibition.mp4,looming,11,1,0,0,1
loom_on_inhibition.mp4,looming,12,1,0,0,1
loom_on_inhibition.mp4,looming,13,1,0,0,1
loom_on_inhibition.mp4,looming,14,1,0,0,1
loom_on_inhibition.mp4,looming,15,1,0,0,1
loom_on_inhibition.mp4,looming,16,1,0,0,1
loom_on_inhibition.mp4,looming,17,1,0,0,1
loom_on_inhibition.mp4,looming,18,1,0,0,1
loom_on_inhibition.mp4,looming,19,1,0,0,1
loom_on_inhibition.mp4,looming,20,1,0,0,1
loom_on_inhibition.mp4,looming,21,1,0,0,1
loom_on_inhibition.mp4,looming,22,1,0,0,1
loom_on_inhibition.mp4,looming,23,1,0,0,1
loom_on_inhibition.mp4,looming,24,1,0,0,1
loom_on_inhibition.mp4,looming,25,1,0,0,1
loom_on_inhibition.mp4,looming,26,1,0,0,1
loom_on_inhibition.mp4,looming,27,1,0,0,1
loom_on_inhibition.mp4,looming,28,1,0,0,1
loom_on_inhibition.mp4,looming,29,1,0,0,1
loom_on_inhibition.mp4,looming,30,1,0,0,1
loom_on_inhibition.mp4,looming,31,1,0,0,1
loom_on_inhibition.mp4,looming,32,1,0,0,1
loom_on_inhibition.mp4,looming,33,1,0,0,1
loom_on_inhibition.mp4,looming,34,1,0,0,1
loom_on_inhibition.mp4,looming,35,1,0,0,1
loom_on_inhibition.mp4,looming,36,1,0,0,1
loom_on_inhibition.mp4,looming,37,1,0,0,1
loom_on_inhibition.mp4,looming,38,1,0,0,1
loom_on_inhibition.mp4,looming,39,1,0,0,1
loom_on_inhibition.mp4,looming,40,1,0,0,1
loom_on_inhibition.mp4,looming,41,1,0,0,1
loom_on_inhibition.mp4,looming,42,1,0,0,1
loom_on_inhibition.mp4,looming,43,1,0,0,1
loom_on_inhibition.mp4,looming,44,1,0,0,1
loom_on_inhibition.mp4,looming,45,1,0,0,1
loom_on_inhibition.mp4,looming,46,1,0,0,1
loom_on_inhibition.mp4,looming,47,1,0,0,1
loom_on_inhibition.mp4,looming,48,1,0,0,1
loom_on_inhibition.mp4,looming,49,1,0,0,1
loom_on_inhibition.mp4,looming,50,1,0,0,1
loom_on_inhibition.mp4,looming,51,1,0,0,1
loom_on_inhibition.mp4,looming,52,1,0,0,1
loom_on_inhibition.mp4,looming,53,1,0,0,1
loom_on_inhibition.mp4,looming,54,1,0,0,1
loom_on_inhibition.mp4,looming,55,1,0,0,1
loom_on_inhibition.mp4,looming,56,1,0,0,1
loom_on_inhibition.mp4,looming,57,1,0,0,1
loom_on_inhibition.mp4,looming,58,1,0,0,1
loom_on_inhibition.mp4,looming,59,1,0,0,1
loom_on_inhibition.mp4,looming,60,1,0,0,1
loom_on_inhibition.mp4,looming,61,1,0,0,1
loom_on_inhibition.mp4,looming,62,1,0,0,1
loom_on_inhibition.mp4,looming,63,1,0,0,1
loom_on_inhibition.mp4,looming,64,1,0,0,1
loom_on_inhibition.mp4,looming,65,1,0,0,1
loom_on_inhibition.mp4,looming,66,1,0,0,1
loom_on_inhibition.mp4,looming,67,1,0,0,1
loom_on_inhibition.mp4,looming,68,1,0,0,1
loom_on_inhibition.mp4,looming,69,1,0,0,1
loom_on_inhibition.mp4,looming,70,1,0,0,1
loom_on_inhibition.mp4,looming,71,1,0,0,1
loom_on_inhibition.mp4,looming,72,1,0,0,1
loom_on_inhibition.mp4,looming,73,1,0,0,1
loom_on_inhibition.mp4,looming,74,1,0,0,1
loom_on_inhibition.mp4,looming,75,1,0,0,1
loom_on_inhibition.mp4,looming,76,1,0,0,1
loom_on_inhibition.mp4,looming,77,1,0,0,1
loom_on_inhibition.mp4,looming,78,1,0,0,1
loom_on_inhibition.mp4,looming,79,1,0,0,1
loom_on_inhibition.mp4,looming,80,1,0,0,1
loom_on_inhibition.mp4,looming,81,1,0,0,1
